id,timestamp,sensor_val_a,sensor_val_b,pressure_psi,temp_c,efficiency,anomaly_detected
1,2026-04-13 09:27:07,11.72,87.02,20.58,59.64,89.14,0
2,2026-04-13 02:36:15,4.27,41.8,65.21,43.92,78.64,0
3,2026-04-13 08:20:09,44.94,97.35,116.53,60.41,86.93,0
4,2026-04-13 12:36:55,22.19,92.56,50.45,30.73,87.8,0
5,2026-04-13 13:05:41,94.32,31.73,76.51,77.82,73.41,0
6,2026-04-13 02:46:01,18.44,35.2,99.14,48.57,94.39,0
7,2026-04-13 07:20:55,17.79,89.31,121.07,73.86,93.5,0
8,2026-04-13 23:03:11,73.5,47.05,114.39,39.58,90.89,0
9,2026-04-13 17:27:20,86.84,59.54,54.79,68.44,80.0,0
10,2026-04-13 08:21:10,30.36,70.5,37.91,94.53,86.29,0
11,2026-04-13 15:31:32,25.08,4.73,33.03,41.14,94.92,0
12,2026-04-13 02:51:21,99.81,80.59,12.15,44.22,90.78,0
13,2026-04-13 03:26:59,33.48,91.08,54.43,81.0,87.93,0
14,2026-04-13 06:44:56,64.59,81.6,38.86,80.13,86.54,0
15,2026-04-13 20:46:45,4.58,61.12,130.13,78.72,88.72,0
16,2026-04-13 01:38:14,98.33,41.57,99.01,42.53,85.08,0
17,2026-04-13 01:54:37,90.9,44.97,34.33,65.64,74.67,0
18,2026-04-13 17:20:32,99.58,32.8,11.94,23.62,74.8,0
19,2026-04-13 01:17:13,51.58,77.13,96.03,40.58,85.93,0
20,2026-04-13 16:51:06,51.02,58.96,102.5,42.81,91.22,0
21,2026-04-13 09:00:56,92.44,3.72,145.65,31.1,83.11,0
22,2026-04-13 23:47:25,54.84,18.48,13.76,15.58,80.99,0
23,2026-04-13 22:35:28,75.92,62.65,35.36,47.02,94.19,0
24,2026-04-13 00:55:47,9.16,73.18,53.61,94.54,84.67,0
25,2026-04-13 18:45:17,24.82,37.74,13.15,83.84,64.07,1
26,2026-04-13 12:26:33,79.79,21.35,130.7,49.02,97.77,0
27,2026-04-13 11:23:54,78.3,14.77,76.02,38.83,78.15,0
28,2026-04-13 03:26:21,18.22,60.27,122.46,62.09,83.25,0
29,2026-04-13 08:21:59,30.9,86.85,25.05,72.9,90.53,0
30,2026-04-13 07:40:04,34.12,21.69,53.02,67.27,81.29,0
31,2026-04-13 15:39:00,72.16,84.42,56.16,36.71,97.46,0
32,2026-04-13 05:56:04,63.02,77.0,103.75,74.85,91.16,0
33,2026-04-13 21:06:56,47.3,11.55,69.99,69.38,96.55,0
34,2026-04-13 18:05:03,53.38,53.06,72.27,45.54,82.54,0
35,2026-04-13 21:52:02,60.44,82.07,68.34,38.36,95.15,0
36,2026-04-13 08:54:14,1.84,85.77,52.7,75.46,94.46,0
37,2026-04-13 11:32:17,83.57,21.71,87.74,49.49,96.81,0
38,2026-04-13 04:48:45,74.54,4.76,42.13,83.96,72.6,0
39,2026-04-13 18:54:29,83.49,75.12,124.96,73.26,76.29,0
