id,temperature,humidity,pressure,wind_speed,rainfall,label
1,32.5,78.2,1013.2,12.4,0.0,sunny
2,28.1,85.6,1010.8,8.7,2.3,cloudy
3,22.3,92.1,1008.5,15.2,12.5,rainy
4,35.0,65.4,1015.1,5.3,0.0,sunny
5,18.7,88.9,1006.2,22.1,25.8,rainy
6,26.4,72.3,1012.7,10.8,0.5,cloudy
7,30.2,68.5,1014.3,7.6,0.0,sunny
8,24.8,90.4,1007.9,18.3,15.2,rainy
9,33.1,60.2,1016.0,3.9,0.0,sunny
10,21.5,94.7,1005.1,25.6,30.1,rainy
11,27.9,76.8,1011.5,11.2,1.8,cloudy
12,31.6,63.1,1014.8,6.4,0.0,sunny
13,19.2,91.3,1007.3,20.5,22.4,rainy
14,29.4,70.6,1013.0,9.1,0.2,cloudy
15,34.8,58.9,1016.5,4.2,0.0,sunny
16,23.1,87.5,1009.1,16.8,10.7,rainy
17,25.6,79.4,1011.2,13.5,3.1,cloudy
18,36.2,55.3,1017.1,2.8,0.0,sunny
19,20.4,93.8,1004.8,23.9,28.6,rainy
20,28.7,74.1,1012.4,8.3,0.9,cloudy
